Time,Fila Max,Ocupacao,E[N],E[W],Lambda,Erro de Little
8400.000000,31,0.785844,3.580944,-0.982332,1.980476,5.526430
8500.000000,31,0.788295,3.702639,-0.972409,1.981059,5.629039
8600.000000,31,0.788001,3.689391,-1.260998,1.980814,6.187193
8700.000000,31,0.788879,3.688474,-0.095516,1.980690,3.877661
8800.000000,31,0.790016,3.706582,-0.029987,1.981818,3.766012
8900.000000,31,0.790075,3.703930,0.123352,1.983258,3.459292
9000.000000,31,0.790749,3.713924,-0.244127,1.984111,4.198299
9100.000000,31,0.791105,3.697320,-0.292007,1.984066,4.276681
9200.000000,31,0.791831,3.705221,-0.465351,1.984239,4.628590
9300.000000,31,0.791200,3.688863,-0.209080,1.984086,4.103697
9400.000000,31,0.791541,3.728133,-0.996146,1.985532,5.706013
9500.000000,31,0.792387,3.735270,-1.041702,1.985579,5.803651
9600.000000,31,0.791517,3.726879,-0.989470,1.983854,5.689844
9700.000000,31,0.793143,3.796194,-1.081977,1.986804,5.945871
9800.000000,31,0.793647,3.820631,-1.048559,1.987245,5.904375
9900.000000,31,0.793018,3.807057,-0.923043,1.985657,5.639903
10000.000000,31,0.793597,3.810287,-1.868259,1.985900,7.520462
10100.000000,31,0.793288,3.799534,-1.812191,1.984059,7.395029
10200.000000,31,0.792980,3.785284,-1.601524,1.986373,6.966507
10300.000000,31,0.793150,3.779811,-1.633665,1.984563,7.021923
10400.000000,31,0.793950,3.794788,-1.938974,1.984519,7.642719
10500.000000,31,0.794814,3.805737,-1.565163,1.984571,6.911914
10600.000000,31,0.794453,3.792296,-1.410327,1.982547,6.588336
10700.000000,31,0.794475,3.796722,-1.114451,1.983364,6.007085
10800.000000,31,0.794307,3.788230,-1.058876,1.983333,5.888334
10900.000000,31,0.794491,3.781359,-1.049006,1.982569,5.861085
11000.000000,31,0.794023,3.768103,-0.797853,1.980636,5.348360
11100.000000,31,0.793856,3.761138,-0.505921,1.981532,4.763636
11200.000000,31,0.794928,3.769278,-0.425117,1.981786,4.611769
11300.000000,31,0.795196,3.768842,-0.330246,1.981327,4.423167
11400.000000,31,0.795798,3.766349,-0.327199,1.982368,4.414977
11500.000000,31,0.795734,3.773564,-0.276217,1.982783,4.321242
11600.000000,31,0.796635,3.821784,-0.307497,1.985776,4.432403
11700.000000,31,0.796064,3.813795,-0.634683,1.985214,5.073776
11800.000000,31,0.795573,3.804759,-0.606534,1.986186,5.009448
11900.000000,31,0.795621,3.796151,-0.473731,1.985462,4.736726
12000.000000,31,0.796744,3.822475,-0.264038,1.987333,4.347205
12100.000000,31,0.796956,3.812100,-0.112240,1.987355,4.035161
12200.000000,31,0.797589,3.804339,0.360290,1.988361,3.087952
12300.000000,31,0.797897,3.800396,0.433115,1.988699,2.939062
12400.000000,31,0.797903,3.791075,-0.113481,1.990161,4.016919
12500.000000,31,0.798481,3.811425,-0.431380,1.990960,4.670285
12600.000000,31,0.798659,3.815352,-0.799106,1.991190,5.406525
12700.000000,31,0.798219,3.802684,-0.728432,1.989685,5.252034
12800.000000,31,0.798584,3.812239,-1.867047,1.990156,7.527954
12900.000000,31,0.799843,3.854496,-1.826059,1.991705,7.491468
13000.000000,31,0.801019,3.870398,-1.851417,1.993846,7.561838
13100.000000,31,0.800790,3.858158,-2.208365,1.994809,8.263424
13200.000000,31,0.800490,3.848032,-2.123190,1.994015,8.081705
13300.000000,31,0.800624,3.846409,-1.668702,1.993383,7.172772
13400.000000,31,0.800762,3.872592,-1.487387,1.992537,6.836266
13500.000000,31,0.799851,3.861014,-1.308237,1.991556,6.466441
13600.000000,31,0.799735,3.856623,-1.266873,1.991103,6.379097
13700.000000,31,0.800001,3.858385,-1.295301,1.991825,6.438398
13800.000000,31,0.799268,3.847123,-1.123451,1.991232,6.084175
13900.000000,31,0.799059,3.838930,-1.477886,1.990216,6.780242
14000.000000,31,0.798802,3.845550,-1.447239,1.989071,6.724211
14100.000000,31,0.798966,3.843305,-1.384027,1.989716,6.597127
14200.000000,31,0.799434,3.857272,-1.477158,1.989085,6.795464
